LCSC Part Number,Manufacturer,Package,Description,Order Qty.,Unit Price($),Component Type,Component Branch,Capacitance,Resistance,Voltage,Tolerance,Inductance,Current/Power
C91672,Texas Instruments,SOT-23-5,"60dB@(100kHz) 150mA Fixed 5V Positive electrode 24V SOT-23-5 Voltage Regulators - Linear, Low Drop Out (LDO) Regulators ROHS",5,0.0842,,,,,,,,
C390142,KYET,"Plugin,P=10mm","330nF -40℃~+100℃ ±5% 400V Plugin,P=10mm Polypropylene Film Capacitors (CBB) ROHS",10,0.0637,Capacitor,Film Capacitor,330n,,400V,±5%,,
C45783,Samsung Electro-Mechanics,0805,25V 22uF X5R ±20% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,20,0.0228,Capacitor,Multilayer Ceramic Capacitor MLCC - SMD/SMT,22u,,25V,±20%,,
C45099,CX(Dongguan Chengxing Elec),"Plugin,D6.3xL11mm","33uF 50V ±20% Plugin,D6.3xL11mm Aluminum Electrolytic Capacitors - Leaded ROHS",20,0.0196,Capacitor,Aluminum Electrolytic Capacitor - Leaded,33u,,50V,±20%,,
C86295,Samsung Electro-Mechanics,0603,10V 22uF X5R ±20% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,30,0.0123,Capacitor,Multilayer Ceramic Capacitor MLCC - SMD/SMT,22u,,10V,±20%,,
C333834,Hongzhi Elec,"Plugin,P=10mm","100nF -40℃~+105℃ ±5% 400V Plugin,P=10mm Polypropylene Film Capacitors (CBB) ROHS",20,0.0337,Capacitor,Film Capacitor,100n,,400V,±5%,,
C353570,Shandong Jingdao Microelectronics,SMAF,Independent Type 58.9V~65.6V 1W 62V SMAF Zener Diodes ROHS,20,0.0332,Diode,Zener Diode,,,58.9V,,,1W
C394206,POWER INTEGRATIONS,SOIC-7,SOIC-7 LED Drivers ROHS,3,0.4795,,,,,,,,
C168103,cjiang (Changjiang Microelectronics Tech),"SMD,6x6mm","240mA 1.5mH ±20% 270mA SMD,6x6mm Power Inductors ROHS",5,0.1526,Inductor,Power Inductor,,,,±20%,240m,240m
C17673,UNI-ROYAL(Uniroyal Elec),0805,125mW Thick Film Resistors 150V ±100ppm/℃ ±1% 4.7kΩ 0805 Chip Resistor - Surface Mount ROHS,100,0.0015,Resistor,Chip Resistor - Surface Mount,,4.7kOhm,150V,±1%,,
